-8 4
-34 34
-15 9
26 12
0 -4
7 -51
36 -2
-17 33
29 29
-24 -20
-19 -9
26 8
27 3
-26 -8
42 -8
-13 13
0 10
15 9
17 -17
-7 -7
-26 -8
15 -15
2 10
31 37
-24 -16
0 18
-39 9
-16 4
44 26
-5 -21
-43 19
12 -8
-20 -4
6 30
-1 1
-47 27
-31 1
23 -25
16 4
-5 39
18 -14
28 20
-13 -23
-17 5
29 31
-16 -42
14 -18
-6 -42
-2 -30
39 -13
10 -4
-18 8
25 -1
1 -5
0 -16
-29 -1
8 0
-46 22
8 -12
24 6
-11 31
9 37
35 51
-6 4
17 -3
50 40
-11 13
12 -28
44 -30
48 2
-16 22
11 17
-9 -33
-3 -27
8 -16
25 -1
19 37
-12 -16
5 7
30 -44
1 25
-30 8
-8 16
-28 32
8 -28
-23 -21
-39 -17
-2 6
-21 -53
46 -16
-37 13
-2 4
12 14
10 38
26 2
19 7
-11 -45
11 37
52 -4
-17 -35
-3 33
25 -17
-24 -12
